iteration,classic_ms
1,24.280
2,23.964
3,26.705
4,18.763
5,16.423
6,18.230
7,17.333
8,18.501
9,17.961
10,17.601
11,17.713
12,17.220
13,16.475
14,16.326
15,17.623
16,17.999
17,17.661
18,20.017
19,19.540
20,16.334
21,36.009
22,21.401
23,31.081
24,18.816
25,17.842
26,17.798
27,17.626
28,23.227
29,19.511
30,32.803
31,48.209
32,30.493
33,40.827
34,68.258
35,61.601
36,74.275
37,38.402
38,64.498
39,26.771
40,20.467
41,34.692
42,25.912
43,28.043
44,23.837
45,20.001
46,17.592
47,19.174
48,17.907
49,20.047
50,17.936
51,18.866
52,18.178
53,17.365
54,16.987
55,19.696
56,27.561
57,27.397
58,18.289
59,34.136
60,31.142
61,20.599
62,31.239
63,32.796
64,30.617
65,33.358
66,36.326
67,36.662
68,25.625
69,32.176
70,30.095
71,32.766
72,44.391
73,36.446
74,22.247
75,25.998
76,26.651
77,31.469
78,33.958
79,20.517
80,37.188
81,28.446
82,32.591
83,40.459
84,29.705
85,24.736
86,26.312
87,24.633
88,17.874
89,17.477
90,17.455
91,18.204
92,21.955
93,35.394
94,28.727
95,24.958
96,26.751
97,23.677
98,24.197
99,21.152
100,19.748
