iteration,hybrid_ms
1,48.141
2,39.799
3,20.449
4,18.441
5,17.397
6,19.850
7,17.393
8,17.240
9,19.834
10,20.232
11,27.810
12,19.909
13,18.825
14,19.167
15,18.640
16,18.540
17,18.878
18,18.934
19,18.429
20,20.027
21,25.265
22,47.542
23,21.652
24,19.343
25,17.727
26,17.982
27,18.752
28,18.138
29,18.164
30,17.091
31,18.141
32,18.596
33,19.192
34,17.848
35,17.731
36,19.132
37,18.114
38,17.966
39,18.152
40,18.013
41,31.547
42,25.614
43,29.347
44,18.589
45,18.730
46,17.172
47,25.918
48,20.210
49,20.518
50,18.079
51,17.402
52,18.233
53,19.828
54,17.575
55,17.212
56,18.725
57,18.049
58,18.185
59,17.268
60,18.064
61,29.815
62,24.705
63,24.419
64,19.829
65,19.507
66,18.700
67,18.287
68,19.396
69,18.138
70,18.142
71,17.353
72,32.120
73,17.743
74,18.667
75,17.611
76,17.840
77,18.162
78,17.223
79,16.650
80,18.256
81,27.272
82,31.160
83,21.818
84,17.673
85,17.646
86,17.924
87,17.652
88,17.981
89,18.545
90,17.899
91,18.091
92,18.117
93,18.830
94,18.088
95,17.946
96,17.235
97,21.089
98,20.400
99,18.469
100,19.470
